id,menu_item_id,ingredient_id
1,1,1
2,1,4
3,1,6
4,1,12
5,1,13
6,1,14
7,1,15
8,2,1
9,2,4
10,2,5
11,2,6
12,2,12
13,2,13
14,2,14
15,2,15
16,3,1
17,3,4
18,3,12
19,3,13
20,3,14
21,3,15
22,4,1
23,4,4
24,4,8
25,4,12
26,4,13
27,4,14
28,4,15
29,5,2
30,5,4
31,5,7
32,5,12
33,5,13
34,5,14
35,5,15
36,6,2
37,6,4
38,6,12
39,6,13
40,6,14
41,6,15
42,7,3
43,7,4
44,7,12
45,7,13
46,7,14
47,7,15
48,8,2
49,8,4
50,8,12
51,8,13
52,8,14
53,8,15
54,9,2
55,9,9
56,9,12
57,9,13
58,9,14
59,9,15
60,10,2
61,10,10
62,10,12
63,10,13
64,10,14
65,10,15
66,11,1
67,11,12
68,11,13
69,11,14
70,11,15
71,12,3
72,12,12
73,12,13
74,12,14
75,12,15
76,13,11
77,13,12
78,13,13
79,13,14
80,13,15
81,14,9
82,14,12
83,14,13
84,14,14
85,14,15
86,15,1
87,15,4
88,15,12
89,15,13
90,15,14
91,15,15
92,16,2
93,16,4
94,16,12
95,16,13
96,16,14
97,16,15
