id,order_id,quantity,price_charged,menu_item_id
1,1,3,5.29,2
2,2,1,5.29,13
3,3,3,4.89,12
4,4,2,4.89,12
5,4,1,5.09,15
6,4,2,5.29,13
7,5,2,4.89,7
8,5,1,4.99,10
9,5,1,4.89,11
10,5,3,5.29,2
11,6,2,5.49,5
12,6,3,4.89,12
13,6,3,4.89,6
14,7,1,5.09,15
15,8,3,5.09,15
16,8,2,5.29,2
17,8,3,5.29,14
18,9,1,4.99,9
19,9,2,4.99,16
20,9,3,4.89,6
21,9,3,4.99,3
22,9,3,4.99,3
23,10,2,5.29,14
24,10,1,5.29,14
25,10,2,5.19,8
26,11,2,4.79,1
27,12,2,4.99,9
28,12,2,5.19,4
29,12,1,4.99,9
30,12,2,4.99,9
31,12,1,4.99,3
32,13,1,4.99,10
33,13,1,5.19,8
34,13,2,5.19,4
35,13,1,4.79,1
36,13,3,5.49,5
37,14,3,5.49,5
38,15,2,4.89,11
39,15,2,4.89,7
40,15,3,4.99,3
41,16,1,4.89,12
42,16,2,4.99,3
43,16,1,4.99,16
44,16,3,4.79,1
45,16,1,5.29,2
46,17,2,5.19,8
47,17,3,5.19,4
48,17,2,5.29,14
49,18,2,5.19,8
50,18,1,4.99,10
51,19,1,4.89,11
52,19,2,4.79,1
53,20,2,4.99,16
54,20,3,5.29,14
55,20,3,5.49,5
56,20,1,5.29,2
57,21,1,5.49,5
58,21,2,4.99,16
59,21,1,4.99,10
60,22,2,4.79,1
61,23,2,4.89,7
62,24,3,5.19,8
63,24,1,4.99,16
64,25,2,5.49,5
65,25,1,4.89,7
66,25,3,4.89,6
67,26,2,4.89,6
68,27,1,5.19,4
69,27,1,4.89,12
70,28,1,4.79,1
71,29,1,5.29,2
72,29,2,5.29,13
73,29,2,4.99,9
74,30,3,5.29,13
75,30,2,5.49,5
76,30,1,4.89,6
77,30,1,4.89,7
78,30,2,4.79,1
79,31,2,4.89,6
80,31,1,4.99,3
81,31,3,5.49,5
82,32,1,4.79,1
83,32,3,4.99,9
84,32,3,5.19,8
85,33,3,5.49,5
86,33,1,5.19,8
87,33,3,4.99,9
88,34,2,4.89,7
89,34,2,4.89,6
90,34,1,5.29,14
91,34,2,4.99,9
92,34,1,4.89,6
93,35,3,5.29,14
94,36,3,4.89,11
95,36,3,5.09,15
96,36,2,4.99,9
97,36,2,4.99,3
98,37,3,4.99,10
99,38,1,5.29,2
100,38,2,4.89,6
101,38,3,4.89,6
102,38,3,4.89,7
103,38,1,5.29,13
104,39,3,5.19,4
105,39,1,4.99,16
106,39,2,5.09,15
107,39,2,5.29,13
108,40,1,4.89,11
109,41,1,4.89,12
110,41,3,4.99,16
111,41,1,4.89,12
112,41,3,4.89,12
113,42,3,5.19,8
114,42,2,4.89,11
115,42,2,4.89,7
116,42,2,4.99,10
117,42,1,4.99,3
118,43,2,4.99,3
119,43,3,4.99,10
120,43,1,4.89,11
121,43,3,4.89,6
122,43,3,5.09,15
123,44,1,5.09,15
124,44,1,4.89,7
125,44,1,5.49,5
126,45,2,4.99,9
127,45,1,4.89,6
128,45,3,4.89,7
129,45,2,5.19,8
130,45,2,4.99,10
131,46,1,4.89,7
132,46,1,4.89,11
133,46,1,5.29,2
134,46,2,4.89,11
135,46,3,5.19,4
136,47,3,5.29,2
137,47,3,5.19,4
138,47,2,4.89,6
139,47,1,4.89,6
140,48,1,4.89,12
141,48,2,4.99,16
142,48,3,4.89,6
143,49,3,5.29,13
144,49,2,4.89,11
145,49,3,5.29,2
146,49,2,4.99,9
147,49,3,4.79,1
148,50,3,5.29,2
149,50,1,5.49,5
150,50,3,4.79,1
151,50,2,5.29,13
152,50,1,5.29,14
153,51,2,4.99,16
154,51,2,4.89,6
155,51,1,4.99,10
156,51,1,4.99,16
157,51,2,4.89,6
158,52,1,4.99,9
159,52,2,4.99,3
160,52,3,5.29,2
161,53,3,5.09,15
162,53,3,5.49,5
163,53,1,5.09,15
164,53,3,5.19,4
165,53,2,5.19,4
166,54,2,5.09,15
167,54,2,5.29,2
168,54,1,4.89,11
169,55,1,4.99,10
170,55,3,5.49,5
171,55,1,5.29,2
172,55,2,4.79,1
173,56,2,5.29,2
174,56,3,4.99,16
175,56,1,5.19,8
176,56,2,4.89,7
177,57,2,4.89,11
178,58,1,5.19,8
179,58,3,5.29,14
180,58,3,4.79,1
181,58,1,4.99,9
182,58,2,4.99,10
183,59,1,4.79,1
184,59,2,4.89,12
185,59,2,5.19,4
186,59,1,5.29,2
187,59,2,4.89,12
188,60,3,4.79,1
189,60,3,4.89,7
190,60,2,5.29,14
191,60,1,5.49,5
192,61,2,5.19,4
193,61,1,5.29,13
194,61,2,4.89,12
195,62,1,4.89,6
196,62,2,5.29,13
197,63,1,5.09,15
198,63,1,5.49,5
199,63,2,4.89,11
200,64,2,4.89,11
201,64,1,4.89,7
202,64,2,4.99,16
203,64,2,4.79,1
204,64,3,5.29,2
205,65,3,4.99,16
206,65,2,4.99,16
207,65,1,5.09,15
208,66,3,4.79,1
209,66,2,4.79,1
210,67,1,4.89,6
211,68,2,5.49,5
212,68,2,5.19,8
213,68,1,5.29,2
214,69,3,5.19,8
215,70,3,5.09,15
216,70,1,4.99,9
217,70,1,4.89,12
218,70,1,5.49,5
219,70,2,4.89,11
220,71,2,4.89,7
221,71,1,4.89,12
222,71,2,5.29,13
223,71,2,5.49,5
224,72,2,5.49,5
225,72,2,4.89,12
226,72,3,5.19,4
227,72,2,4.99,16
228,72,1,5.09,15
229,73,3,4.99,10
230,73,3,4.89,12
231,73,2,5.29,14
232,73,3,4.99,3
233,73,1,4.89,7
234,74,3,5.19,8
235,74,2,4.99,9
236,74,3,4.99,16
237,74,2,4.89,11
238,74,3,4.99,9
239,75,2,4.89,11
240,75,3,4.99,10
241,75,1,4.99,3
242,75,3,4.99,10
243,75,2,4.99,10
244,76,3,5.29,13
245,76,1,5.29,14
246,76,2,5.19,4
247,77,3,5.09,15
248,77,3,5.29,2
249,77,2,4.89,7
250,77,2,5.09,15
251,78,1,4.99,3
252,79,1,5.29,13
253,79,1,4.99,3
254,79,3,4.89,11
255,80,3,4.89,11
256,81,2,4.99,9
257,81,2,5.09,15
258,81,1,4.89,11
259,81,3,5.29,13
260,81,3,5.19,8
261,82,2,4.99,3
262,82,1,5.19,8
263,82,1,5.19,4
264,83,3,4.79,1
265,83,1,5.49,5
266,83,3,4.89,7
267,83,2,4.99,10
268,84,2,4.99,3
269,85,1,4.89,7
270,85,1,4.89,7
271,85,1,4.89,6
272,85,2,4.89,11
273,85,2,4.89,7
274,86,2,5.19,8
275,87,1,4.79,1
276,87,2,5.09,15
277,88,2,4.89,11
278,88,1,5.09,15
279,88,3,4.99,16
280,88,3,4.79,1
281,88,2,5.29,2
282,89,3,4.99,9
283,89,3,5.19,8
284,90,3,4.89,6
285,91,2,4.89,11
286,92,1,4.79,1
287,92,2,4.99,9
288,92,1,5.19,4
289,92,3,4.89,6
290,92,1,5.29,14
291,93,1,5.19,8
292,93,1,4.99,3
293,93,1,4.99,9
294,93,3,4.99,9
295,94,1,4.89,11
296,94,1,4.89,12
297,94,3,4.89,7
298,94,1,5.49,5
299,94,3,5.29,2
300,95,2,4.99,9
301,96,2,5.09,15
302,96,2,5.29,14
303,97,1,4.89,7
304,97,2,4.99,3
305,98,1,5.29,2
306,98,2,4.99,3
307,98,2,5.29,13
308,98,1,5.29,14
309,98,1,4.99,16
310,99,3,4.99,9
311,99,3,4.89,12
312,100,2,4.79,1
313,100,2,5.09,15
314,101,3,5.09,15
315,102,1,5.19,4
316,102,2,4.99,9
317,103,2,4.89,7
318,103,1,5.09,15
319,103,2,4.79,1
320,104,1,5.29,2
321,104,2,5.09,15
322,105,1,4.89,12
323,105,3,4.99,3
324,105,3,5.49,5
325,106,2,4.89,12
326,107,3,4.89,7
327,107,1,4.99,9
328,108,2,4.89,6
329,109,3,4.89,11
330,109,3,4.99,3
331,110,2,5.19,4
332,110,2,5.29,2
333,110,3,4.89,12
334,111,1,4.89,11
335,111,1,4.89,11
336,112,1,4.99,9
337,112,3,4.89,11
338,112,1,5.29,2
339,112,1,5.29,2
340,112,1,4.99,16
341,113,3,4.99,9
342,113,3,5.19,8
343,113,3,5.19,8
344,114,2,4.99,3
345,114,3,5.29,14
346,114,1,5.29,14
347,114,1,5.29,14
348,115,1,4.89,11
349,115,2,4.79,1
350,115,1,4.79,1
351,116,1,5.09,15
352,117,2,4.89,6
353,117,3,5.29,14
354,117,2,5.49,5
355,118,3,5.29,2
356,118,2,5.19,4
357,118,3,4.89,6
358,118,2,4.79,1
359,119,1,5.29,2
360,120,3,4.89,12
361,121,1,4.89,6
362,121,3,5.19,8
363,121,2,5.49,5
364,121,2,4.99,3
365,122,2,4.89,12
366,122,3,4.89,6
367,122,1,4.89,6
368,123,1,5.09,15
369,124,1,4.99,3
370,125,1,4.99,3
371,125,3,4.99,9
372,125,1,4.79,1
373,126,2,4.89,6
374,126,3,4.99,9
375,126,2,4.99,3
376,127,3,5.49,5
377,127,1,4.99,9
378,127,3,4.99,3
379,127,3,4.99,3
380,127,2,5.19,4
381,128,3,5.29,2
382,129,2,5.29,14
383,130,3,4.89,6
384,130,3,4.89,7
385,130,3,5.49,5
386,130,3,5.19,8
387,131,3,5.29,2
388,131,3,4.89,6
389,131,3,4.99,3
390,131,3,4.89,7
391,132,1,4.89,6
392,132,2,4.89,11
393,132,1,4.89,6
