id,order_time,total_amount,cashier
1,2025-05-21 18:00:48,15.87,2
2,2025-05-21 17:21:17,5.29,2
3,2025-05-21 11:48:21,14.67,2
4,2025-05-21 09:06:22,25.45,3
5,2025-05-21 16:51:02,35.53,5
6,2025-05-21 14:07:59,40.32,3
7,2025-05-21 09:18:53,5.09,5
8,2025-05-21 16:55:23,41.72,5
9,2025-05-21 11:04:02,59.58,5
10,2025-05-21 11:18:05,26.25,2
11,2025-05-21 19:24:17,9.58,3
12,2025-05-21 16:23:10,40.32,3
13,2025-05-21 13:42:17,41.82,5
14,2025-05-21 20:41:04,16.47,5
15,2025-05-21 16:34:46,34.53,2
16,2025-05-21 10:24:17,39.52,5
17,2025-05-21 17:14:43,36.53,3
18,2025-05-21 19:49:03,15.37,2
19,2025-05-21 18:51:20,14.47,3
20,2025-05-21 12:13:58,47.61,5
21,2025-05-21 19:20:13,20.46,5
22,2025-05-21 14:56:58,9.58,5
23,2025-05-21 14:16:08,9.78,2
24,2025-05-21 17:34:16,20.56,5
25,2025-05-21 15:57:37,30.54,3
26,2025-05-21 13:08:32,9.78,3
27,2025-05-21 09:03:55,10.08,2
28,2025-05-21 10:10:50,4.79,5
29,2025-05-21 13:04:24,25.85,3
30,2025-05-21 16:29:33,46.21,3
31,2025-05-21 21:55:00,31.24,5
32,2025-05-21 17:43:56,35.33,5
33,2025-05-21 18:49:41,36.63,3
34,2025-05-21 09:27:10,39.72,3
35,2025-05-21 00:46:56,15.87,5
36,2025-05-21 12:32:48,49.90,2
37,2025-05-21 14:06:55,14.97,5
38,2025-05-21 12:40:32,49.70,5
39,2025-05-21 11:23:48,41.32,2
40,2025-05-21 15:49:59,4.89,5
41,2025-05-21 19:38:20,39.42,3
42,2025-05-21 05:59:23,50.10,3
43,2025-05-21 12:15:56,59.78,5
44,2025-05-21 20:05:46,15.47,3
45,2025-05-21 18:48:34,49.90,2
46,2025-05-21 10:30:35,40.42,2
47,2025-05-21 12:55:38,46.11,3
48,2025-05-21 21:59:34,29.54,5
49,2025-05-21 17:45:19,65.87,3
50,2025-05-21 22:41:23,51.60,3
51,2025-05-21 19:28:07,39.52,2
52,2025-05-21 11:21:01,30.84,5
53,2025-05-21 15:37:14,62.78,2
54,2025-05-21 08:40:03,25.65,2
55,2025-05-21 08:02:55,36.33,3
56,2025-05-21 08:15:17,40.52,5
57,2025-05-21 14:34:08,9.78,5
58,2025-05-21 20:36:36,50.40,3
59,2025-05-21 12:30:51,40.02,3
60,2025-05-21 11:06:42,45.11,3
61,2025-05-21 13:26:29,25.45,5
62,2025-05-21 07:41:41,15.47,2
63,2025-05-21 08:46:21,20.36,2
64,2025-05-21 12:12:34,50.10,3
65,2025-05-21 10:11:17,30.04,3
66,2025-05-21 12:59:04,23.95,3
67,2025-05-21 18:54:35,4.89,2
68,2025-05-21 07:34:53,26.65,2
69,2025-05-21 21:59:48,15.57,2
70,2025-05-21 10:31:30,40.42,2
71,2025-05-21 19:57:03,36.23,2
72,2025-05-21 13:24:16,51.40,3
73,2025-05-21 12:44:46,60.08,5
74,2025-05-21 17:31:09,65.27,2
75,2025-05-21 12:03:37,54.69,5
76,2025-05-21 15:47:20,31.54,2
77,2025-05-21 07:30:32,51.10,5
78,2025-05-21 10:32:05,4.99,2
79,2025-05-21 08:04:43,24.95,2
80,2025-05-21 13:56:36,14.67,2
81,2025-05-21 15:02:39,56.49,2
82,2025-05-21 13:37:36,20.36,5
83,2025-05-21 12:16:13,44.51,5
84,2025-05-21 17:15:16,9.98,3
85,2025-05-21 10:41:19,34.23,3
86,2025-05-21 12:48:59,10.38,2
87,2025-05-21 02:39:36,14.97,2
88,2025-05-21 08:13:32,54.79,3
89,2025-05-21 10:22:56,30.54,2
90,2025-05-21 19:23:18,14.67,2
91,2025-05-21 13:34:45,9.78,3
92,2025-05-21 16:51:41,39.92,5
93,2025-05-21 02:52:35,30.14,3
94,2025-05-21 20:06:56,45.81,2
95,2025-05-21 12:56:06,9.98,5
96,2025-05-21 15:17:18,20.76,5
97,2025-05-21 11:21:13,14.87,5
98,2025-05-21 16:16:32,36.13,3
99,2025-05-21 12:58:54,29.64,2
100,2025-05-21 09:27:53,19.76,3
101,2025-05-21 07:21:49,15.27,2
102,2025-05-21 16:16:10,15.17,5
103,2025-05-21 13:45:27,24.45,5
104,2025-05-21 02:04:56,15.47,5
105,2025-05-21 19:34:02,36.33,3
106,2025-05-21 15:09:27,9.78,2
107,2025-05-21 07:23:57,19.66,2
108,2025-05-21 19:13:43,9.78,2
109,2025-05-21 17:22:49,29.64,5
110,2025-05-21 19:26:39,35.63,5
111,2025-05-21 10:59:15,9.78,2
112,2025-05-21 21:51:11,35.23,3
113,2025-05-21 06:47:59,46.11,3
114,2025-05-21 18:26:51,36.43,5
115,2025-05-21 19:51:15,19.26,3
116,2025-05-21 10:44:06,5.09,3
117,2025-05-21 19:54:30,36.63,2
118,2025-05-21 11:58:29,50.50,3
119,2025-05-21 12:50:55,5.29,2
120,2025-05-21 11:42:12,14.67,3
121,2025-05-21 12:55:04,41.42,3
122,2025-05-21 13:32:25,29.34,5
123,2025-05-21 21:34:21,5.09,2
124,2025-05-21 09:16:11,4.99,5
125,2025-05-21 21:16:02,24.75,2
126,2025-05-21 16:22:46,34.73,3
127,2025-05-21 13:32:07,61.78,3
128,2025-05-21 19:12:16,15.87,2
129,2025-05-21 17:00:33,10.58,5
130,2025-05-21 17:47:47,61.38,5
131,2025-05-21 11:27:04,60.18,5
132,2025-05-21 19:39:20,35.33,5
133,2025-05-21 19:46:57,25.75,3
134,2025-05-21 14:42:26,4.79,3
135,2025-05-21 13:18:35,54.79,2
136,2025-05-21 11:42:24,34.53,5
137,2025-05-21 18:11:39,44.81,5
138,2025-05-21 12:35:53,4.99,2
139,2025-05-21 12:13:27,34.63,5
140,2025-05-21 16:20:29,35.93,3
141,2025-05-21 13:13:32,10.38,3
142,2025-05-21 18:50:47,75.15,2
143,2025-05-21 17:18:32,21.66,5
144,2025-05-21 16:21:05,5.49,2
145,2025-05-21 17:14:51,35.93,2
146,2025-05-21 10:02:15,15.67,3
147,2025-05-21 16:49:04,54.59,3
148,2025-05-21 13:40:36,20.56,2
149,2025-05-21 17:24:31,20.06,3
150,2025-05-21 12:41:44,24.65,2
151,2025-05-21 19:55:49,21.16,2
152,2025-05-21 18:14:11,10.18,5
153,2025-05-21 15:03:35,40.32,2
154,2025-05-21 19:07:29,4.79,2
155,2025-05-21 18:42:33,9.98,5
156,2025-05-21 16:48:57,21.16,3
157,2025-05-21 16:46:57,35.03,5
158,2025-05-21 13:58:35,14.87,3
159,2025-05-21 19:47:55,29.64,3
160,2025-05-21 14:48:15,20.76,5
161,2025-05-21 12:49:33,64.97,3
162,2025-05-21 16:17:28,5.29,2
163,2025-05-21 17:15:17,14.97,3
164,2025-05-21 12:34:05,16.47,2
165,2025-05-21 10:24:44,25.05,2
166,2025-05-21 17:04:26,15.27,3
167,2025-05-21 12:29:26,40.32,2
168,2025-05-21 11:26:24,14.67,5
169,2025-05-21 20:01:54,10.58,5
170,2025-05-21 13:00:22,55.39,3
171,2025-05-21 18:54:57,25.05,3
172,2025-05-21 15:47:34,25.15,5
173,2025-05-21 19:31:14,54.49,3
174,2025-05-21 13:01:24,30.84,3
